Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0805_2012Metric,82.87,-71.628,180.0,top
C102,100n,C_0805_2012Metric,80.96,-43.434,180.0,top
D1001,LED,CP_EIA-3528-12_Kemet-T,112.599,-81.237,180.0,top
D301,LED,CP_EIA-3528-12_Kemet-T,112.599,-42.737,180.0,top
D401,LED,CP_EIA-3528-12_Kemet-T,112.599,-48.237,180.0,top
D501,LED,CP_EIA-3528-12_Kemet-T,112.599,-53.737,180.0,top
D601,LED,CP_EIA-3528-12_Kemet-T,112.599,-59.237,180.0,top
D701,LED,CP_EIA-3528-12_Kemet-T,112.599,-64.737,180.0,top
D801,LED,CP_EIA-3528-12_Kemet-T,112.599,-70.237,180.0,top
D901,LED,CP_EIA-3528-12_Kemet-T,112.599,-75.737,180.0,top
J101,Conn_01x08,TerminalBlock_4Ucon_1x08_P3.50mm_Vertical,123.0376,-61.526,90.0,top
J1101,Conn_01x03,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,123.0376,-83.002,90.0,top
J1102,Conn_01x06,TerminalBlock_4Ucon_1x06_P3.50mm_Vertical,73.787,-76.964,90.0,top
J201,Conn_01x03,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,123.0376,-40.1278,90.0,top
J202,Conn_01x06,TerminalBlock_4Ucon_1x06_P3.50mm_Vertical,73.914,-45.636,90.0,top
JP1001,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-81.237,0.0,top
JP301,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-42.737,0.0,top
JP401,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-48.237,0.0,top
JP501,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-53.737,0.0,top
JP601,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-59.237,0.0,top
JP701,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-64.737,0.0,top
JP801,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-70.237,0.0,top
JP901,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,103.099,-75.737,0.0,top
R1001,120,R_0805_2012Metric,98.699,-86.2245,-90.0,top
R1002,1k2,R_0805_2012Metric,83.999,-62.0495,-90.0,top
R301,120,R_0805_2012Metric,99.499,-37.737,-90.0,top
R302,1k2,R_0805_2012Metric,83.899,-37.7245,-90.0,top
R401,120,R_0805_2012Metric,102.699,-37.7245,-90.0,top
R402,1k2,R_0805_2012Metric,87.199,-37.7495,-90.0,top
R501,120,R_0805_2012Metric,105.899,-37.737,-90.0,top
R502,1k2,R_0805_2012Metric,83.999,-41.6245,-90.0,top
R601,120,R_0805_2012Metric,109.199,-37.7245,-90.0,top
R602,1k2,R_0805_2012Metric,87.199,-41.5495,-90.0,top
R701,120,R_0805_2012Metric,108.599,-86.2495,-90.0,top
R702,1k2,R_0805_2012Metric,87.199,-58.237,-90.0,top
R801,120,R_0805_2012Metric,105.299,-86.2495,-90.0,top
R802,1k2,R_0805_2012Metric,83.899,-58.237,-90.0,top
R901,120,R_0805_2012Metric,101.999,-86.237,-90.0,top
R902,1k2,R_0805_2012Metric,87.199,-62.1495,-90.0,top
U1001,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-82.237,90.0,top
U101,74HC373,SO-20_5.3x12.6mm_P1.27mm,82.899,-79.637,270.0,top
U102,74HC595,SOIC-16W_5.3x10.2mm_P1.27mm,84.276,-50.2158,270.0,top
U301,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-40.237,90.0,top
U401,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-46.237,90.0,top
U501,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-52.237,90.0,top
U601,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-58.237,90.0,top
U701,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-64.237,90.0,top
U801,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-70.237,90.0,top
U901,GAQY212G1S,SO-4_4.4x3.9mm_P2.54mm,94.099,-76.237,90.0,top
